Related API,Description,Method,Type
,,service.safeBrowsingEnabled.get(),
,,service.safeBrowsingExtendedReportingEnabled.get(),
,,service.searchSuggestEnabled.get(),
,,service.spellingServiceEnabled.get(),
,,service.translationServiceEnabled.get(),
,,websites.cookieConfig.get(),
,,websites.cookieConfig.behavior.get(),
,,websites.cookieConfig.nonPersistentCookies.get(),
,,websites.firstPartyIsolate.get(),
,,websites.hyperlinkAuditingEnabled.get(),
,,websites.protectedContentEnabled.get(),
,,websites.referrersEnabled.get(),
,,websites.resistFingerprinting.get(),
,,websites.thirdPartyCookiesAllowed.get(),
,,websites.trackingProtectionMode.get(),
browser.proxy,Use the proxy API to proxy web requests.,,User activity
,,settings.set(),
,,register(),
browser.session,"Use the sessions API to list, and restore, tabs and windows that have been closed while the browser has been running",,Web histoy
,,getRecentlyClosed(),
,,getTabValue(),
,,getWindowValue(),
browser.tabs,"interact with the browser's tab system. You can use this API to create, modify, and rearrange tabs in the browser",,Website content
,,get(),
,,getAllInWindow(),
,,getCurrent(),
,,getSelected(),
,,getZoom(),
,,getZoomSettings(),
browser.topSites,Use the topSites API to get an array containing pages that the user has visited frequently,,Web histoy
,,get(),
browser.types.BrowserSetting,represent a browser setting,,Privacy-related setting
,,get(),
browser.webNavigation,"navigations usually result in the browser making web requests, but the webRequest API is concerned with the lower-level view from the HTTP layer, while the webNavigation API is more concerned with the view from the browser UI itself",,User activity
,,getAllFrames(),
,,getFrame(),
browser.webRequest,,,User activity
,,filterResponseData(),
,,getSecurityInfo(),
browser.windows,"interact with browser windows. You can use this API to create, modify, and rearrange windows in the browser.",,Website content
,,get(),
,,getAll(),
,,getCurrent(),
,,getLastFocused(),
navigator.geolocation,return geological information,,Location
,,getcurrentposition（）,
References:,,,
https://developer.chrome.com/docs/extensions/reference/,,,
https://developer.mozilla.org/en-US/docs/Mozilla/Add-ons/WebExtensions/API,,,
