ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
cinnaghekiafnplijmadmifnoaecefdd,1,0,0,1,0,0,1,1,1,1,1,0
ncacfdgphnhapbgjkpelgbbbidhconjl,1,0,0,1,0,0,1,1,1,0,1,0
aihmkbhfjjbgnckhnccajglkgafclgin,1,0,0,1,1,0,1,1,1,0,0,0
geockglncnddpcfonoilkfddaddknjnp,1,0,0,1,0,0,1,1,1,0,1,0
ookcfeohfcfmpapmafpljepfljnlkdcn,1,0,1,1,0,1,1,1,1,0,0,0
igopmeppmijehcoikklecabcdflhopgh,0,0,0,1,0,0,0,1,1,1,1,0
kobbafbmlbbpmljdefioncacindlibpj,1,0,0,1,0,0,0,1,1,0,1,0
ifjffhflklmpcianpmplmnlnmfpbfdcp,1,0,0,1,1,0,0,1,1,0,0,0
lmlkbclipoijbhjcmfppfgibpknbefck,1,0,0,1,0,0,1,1,1,0,1,0
npdkkcjlmhcnnaoobfdjndibfkkhhdfn,0,0,0,0,0,0,0,1,1,0,0,0
nipfocapamlefjhldhcagammlldbangf,1,0,0,1,0,0,1,1,1,0,1,0
bpconcjcammlapcogcnnelfmaeghhagj,1,0,0,1,0,0,1,1,1,0,1,0
camfdpcgapdnbokfgemmhdjeoajendmk,1,0,0,1,0,0,0,1,1,0,1,0
nofndgfpjopdpbcejgdpikmpdehlekac,0,0,0,1,0,1,1,1,1,1,1,0
pjdeblccplohlgedbefopohaedodcgci,1,0,0,1,0,0,0,1,1,0,1,0
ehpgcagmhpndkmglombjndkdmggkgnge,1,0,0,1,0,0,1,1,1,0,1,0
difojhphdkeielekajnflmacfdebhkkk,1,0,0,1,0,0,1,1,1,1,1,0
eignhdfgaldabilaaegmdfbajngjmoke,1,0,0,1,0,0,1,1,1,0,1,0
pjnlpkkjpibmdkbceojodbbkcggdokon,1,0,0,1,0,0,1,1,1,0,1,0
ceggpinhhmjppnindgmdahlibhmdbknj,0,0,0,1,0,0,0,1,1,0,0,0
docdmgijbdlobilamkipaleciekbgbgl,1,0,0,1,0,0,1,1,1,0,1,0
dbkmhaamlapkjabaieclhlofhnaoccmb,1,0,0,1,0,0,0,1,1,0,1,0
fapajikkoocfeplemejmhcfenfdelbdg,1,0,1,1,0,1,1,1,1,0,0,0
migdhldfbapmodfbmgpofnikfbfpbbon,1,0,0,1,0,0,1,1,1,1,1,0
fapgabkkfcaejckbfmfcdgnfefbmlion,1,0,0,1,0,0,1,1,1,0,1,0
knmnaaoafogkenfjbgmhkjpiabopnibg,1,0,0,1,0,0,1,1,1,0,1,0
mbpccgpiidnajgnapidpjmcjakjhkbom,1,1,1,1,0,1,1,1,1,0,0,0
niloccemoadcdkdjlinkgdfekeahmflj,1,0,0,1,0,0,1,1,1,0,1,0
lfjnnkckddkopjfgmbcpdiolnmfobflj,1,0,0,1,0,0,1,1,1,1,1,0
cocfojppfigjeefejbpfmedgjbpchcng,1,0,0,1,0,0,1,1,1,0,1,0
cgbihpjbhpdfbdckcabcniojdhcgblhd,1,0,0,1,0,0,1,1,1,0,1,0
dgoicbnaoajknfnkijgjdelfdihpicie,1,1,1,1,0,1,1,1,1,0,0,0
bekopgepchoeepdmokgkpkfhegkeohbl,1,1,0,1,0,0,1,1,1,0,1,0
gndngamokmnabgfdibbgcpbhgfoheimd,1,0,1,1,0,0,1,1,1,1,1,0
ehpdoeepbmijafimdjcippbkpffhfmif,1,0,0,1,0,0,1,1,1,0,1,0
kbbbldgkhcpkmmjbjelmkjkchibeklng,1,0,0,1,0,0,1,1,1,1,1,0
bacghepghgccgaonmmlpeekkjbdblhjf,1,0,1,1,0,1,1,1,1,0,0,0
ibplnjkanclpjokhdolnendpplpjiace,1,0,0,1,0,0,0,1,1,1,1,0
ahkbbpklfnlmilejfjalgmjoojaamekg,1,0,0,1,1,0,1,1,1,0,0,0
inblpolgchbcgmocpnalobjmmaldkjap,0,0,0,0,0,0,1,1,0,0,0,0
kejhpkmainjkpiablnfdppneidnkhdif,1,0,0,1,0,0,1,1,1,0,1,0
hamhaljjdpcgkelbadepgmnocknejief,1,0,0,1,0,0,1,1,1,0,1,0
kmlalnclbkfkgckkocfpmjcfbgoeakof,0,0,0,0,0,0,1,1,1,1,0,1
dipiagiiohfljcicegpgffpbnjmgjcnf,1,0,0,1,0,0,1,1,1,1,1,0
lpkndkffkmhcdkkdmeeelikmadjjmebe,1,0,0,1,1,0,1,1,1,0,0,0
bccpegbeakkofioonldfbhgdcdjmkfnk,1,0,0,1,0,0,1,1,1,0,1,0
bmdnpacffafhifoibkeajbacaapgcoih,1,0,0,1,0,0,0,1,1,0,1,0
olidoialnlcdepmehacnojkhanbfkmbc,1,0,0,1,0,0,0,1,1,1,1,0
hhdobjgopfphlmjbmnpglhfcgppchgje,1,0,0,1,1,0,1,1,1,1,1,0
mjdepdfccjgcndkmemponafgioodelna,1,0,0,1,0,0,1,1,1,0,1,0
kpdfphhplelegiijichjfhcgplamnklf,1,0,0,1,0,0,1,1,1,0,1,0
baflojfpgicbegbdfaklkhnjoikendeh,1,0,0,0,0,0,0,1,1,0,0,0
eegpjjnajnplmkigmoglgbgpibgkkepo,1,0,0,1,0,0,1,1,1,1,1,0
ledaenehpknpfpodpbaoagjifopbgffn,1,0,0,1,0,0,0,1,1,0,1,0
lbfjbappcgpjejkcdjponeobdcnldlkc,1,0,0,1,1,0,1,1,1,0,1,0
