ext,category,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS,Total Finded
mahjjnnfonpmljboifhdfafnalfhknfl,Fun,0,0,0,0,0,0,0,0,0,1,0,0,13
iajmlnmkpiipapofijlnkechdjjmnfeg,Fun,0,0,0,0,0,0,0,0,0,0,0,0,6
djokmhljnbkomkgagpoopajinbbkjnkj,Fun,0,0,0,0,0,0,0,0,0,1,0,0,7
gnejflagnhkhfalcogkkcpejgkiflibf,Fun,0,0,0,0,0,0,0,0,0,1,0,0,7
kgmmhclhhlkaecmhmfpkcdkamohealeh,Fun,0,0,0,0,0,0,0,0,1,1,0,0,2
lgolghfbfjpegcdaneojpnaccppdacbi,Fun,0,0,0,0,0,0,0,1,1,1,0,0,14
mnjepbdnllfbkdkofheplbojmfkfmofp,Fun,0,0,0,0,0,0,0,0,0,1,0,0,10
jojkikfnjjkgpkcnfcafamhpfgfhmlel,Fun,0,0,0,0,0,0,0,0,1,1,0,0,10
mpifjmnldnkidekhjomdnibbenbleioe,Fun,0,0,0,0,0,0,0,1,1,0,0,0,13
mmgjkfjlmdkmoipndaeombfnomjfgeff,Fun,0,0,0,0,0,0,0,1,1,1,0,0,4
hdjcgcljjjjlbnffoddabgddkebbiehn,Fun,0,0,0,0,0,0,1,1,1,1,0,0,14
hbnnipmnpgiepegnlmekieblhjmchmbf,Fun,0,0,0,0,0,0,0,0,0,1,0,0,7
aicholjcgafjdjkbjffcdleoganejhek,Fun,0,0,0,0,0,0,0,0,0,0,0,0,8
hmganihnbinidpgfljhehoplgpdnhncl,Fun,0,0,0,0,0,0,0,1,1,0,0,0,11
lndknnkjnancggjbemepglibannddopm,Fun,0,0,0,0,0,0,0,1,1,0,0,0,11
fmnbendpgeigfbbggclcongjkmpjnina,Fun,0,0,0,0,0,0,0,1,1,1,0,0,6
hchnjchopdcefnppdkmcfmnofnanijfg,Fun,0,0,0,0,0,0,0,0,0,1,0,0,5
bgepleddfpbdednhdlamhbeapecdbfgi,Fun,0,0,0,0,0,0,0,1,0,0,0,0,5
bepkjkmghlbjbeaoggnjjmemckkacnod,Fun,0,0,0,0,0,0,0,1,1,1,0,0,9
eaibjjofjikbfdmihoapoipphjambbfg,Fun,0,0,0,0,0,0,0,1,1,1,0,0,4
dminbokeajnkkikeiepfhlgijfjjmdkf,Fun,0,0,0,0,0,0,0,1,1,1,0,0,12
denhegbijdfbckdmjjmjbcfdhjogadlh,Fun,0,0,0,0,0,0,0,1,1,1,0,0,11
idgnmlpbobfhbcdbndjnilapiiolflho,Fun,0,0,0,0,0,0,0,1,0,1,0,0,8
jbfemhnbldieldbcmedngbokkonjemhh,Fun,0,0,0,0,0,0,0,1,0,0,0,0,5
dmgojbkbogegcgdfbilopdhlehbikmig,Fun,0,0,0,0,0,0,0,1,1,0,0,0,13
llpmceedcmcimdoejmfiifnlbjfnhlck,Fun,0,0,0,0,0,0,0,1,1,0,0,0,15
npkijobdaoheiemkkogpfmgeokmpmnde,Fun,0,0,0,0,0,0,0,1,1,1,0,0,10
njnahgjckemceggjlgiepglacgkgmafa,Fun,0,0,0,0,0,0,0,0,0,0,0,0,11
ijjhhldncdhjkpnohencpcdlhdjchjif,Fun,0,0,0,0,0,0,0,1,1,1,0,0,10
gepdfpfaoconabdpgaaklcmgbagbponn,Fun,0,0,0,0,0,0,0,1,1,1,0,0,10
ndkhjifkhiepbolnmojnaaghdfdepjof,Fun,0,0,0,0,0,0,0,1,1,1,0,0,4
eibnpeegkdkfcoaakejdjcimjjncefln,Fun,0,0,0,0,0,0,0,1,1,0,0,0,7
gcgoenndigjegpgpfnnmgfnbiollgimk,Fun,0,0,0,0,0,0,0,1,1,1,0,0,11
lolhhhlhilceopgjmkekbacimmlogknd,Fun,0,0,0,0,0,0,0,1,1,1,0,0,16
ncmfghlpmmpchbldmmkjialnhobbjdfb,Fun,0,0,0,0,0,0,0,1,1,1,0,0,16
najbnhffbilgmdaeiinigaokacakkpmh,Fun,0,0,0,0,0,0,0,0,0,1,0,0,10
gjhhlkjfglilanfckcmnjdhpapdmiijk,Fun,0,0,0,0,0,0,0,0,0,0,0,0,9
jknnlkgmlbfaljchdannpgfjeajpjfbi,Fun,0,0,0,0,0,0,0,0,0,1,0,0,6
ompfmipdombbajnikeoicldpfohckaic,Fun,0,0,0,0,0,0,0,1,1,0,0,0,7
kbcbkhedpppdgakadaampcdhglgbjjal,Fun,0,0,0,0,0,0,0,1,1,0,0,0,8
inaadfdecbbpclbpolbggiinillfcagg,Fun,0,0,0,0,0,0,0,1,1,1,0,0,9
emhcionpgomklidodcncnfncjfeaifoj,Fun,0,0,0,0,0,0,0,1,1,1,0,0,5
ahidikbmaookafohallmfchmhlelabif,Fun,0,0,0,0,0,0,0,0,0,0,0,0,9
fknnngogpjglmkgjibobpihbhfphbefo,Fun,0,0,0,0,0,0,0,1,1,0,0,0,9
naiegljfmojjaphollbjobpedcdnkkfp,Fun,0,0,0,0,0,0,0,1,1,1,0,0,5
pjaikfdlemkpgdonbihaecneknanhccm,Fun,0,0,0,0,0,0,0,0,0,0,0,0,10
hoihbbcdiegbbomgdohngkbcejefljpa,Fun,0,0,0,0,0,0,0,0,0,1,0,0,6
fjkehfaokpmcbigmbgdhmjblecgfkedg,Fun,0,0,0,0,0,0,0,0,0,1,0,0,12
pfijnjmmcpnkepjghlbljcidgainfoao,Fun,1,0,0,1,0,0,0,1,1,1,0,0,4
ifiofphfbiclilokmlclkhkgiaipcndj,Fun,0,0,0,0,0,0,0,1,1,1,0,0,8
nkdafdjemkdmkjbffnpfkldgmofigdjm,Fun,0,0,0,0,0,0,0,1,1,1,0,0,12
iegidjhjgbmaphmfjfoobaeeepfldiek,Fun,0,0,0,0,0,0,0,1,0,1,0,0,4
hlpjidceoiialibinbmoimdjfcpkndnl,Fun,0,0,0,0,0,0,0,0,1,0,0,0,5
jjahnogdokjcodfaaodehdhokgbpkbal,Fun,0,0,0,0,0,0,0,1,1,0,0,0,11
nikenaeclebghemphbkfedjndafkfjan,Fun,0,0,0,0,0,0,0,0,0,0,0,0,8
fphfgdknbpakeedbaenojjdcdoajihik,Fun,0,0,0,0,0,0,0,1,1,1,0,0,12
comokncmcikifmhpijkhdcpojhneiabp,Fun,0,0,0,0,0,0,0,1,0,1,0,0,5
mknpibhgmcdhakbcllehaffjccmfhmec,Fun,0,0,0,0,0,0,0,1,1,1,0,0,15
apmdbbjakfnangndikaijbehbhkcknna,Fun,0,0,0,0,0,0,0,1,1,1,0,0,6
bcelnjnjinfecpflaipdaildnkijlnce,Fun,0,0,0,0,0,0,0,0,0,1,0,0,10
gecolonhalhakngoolfohhnbdhbejhec,Fun,0,0,0,0,0,0,0,1,0,1,0,0,4
lphngfbnndkhdbmbgnlnhngihcpofkno,Fun,0,0,0,0,0,0,0,1,1,1,0,0,14
pchnjlbgjkfblphkbbhdcdbffkbjpmog,Fun,0,0,0,0,0,0,0,1,1,1,0,0,12
eaaaapbjkgppdgbdbfbhneppoifhnink,Fun,0,0,0,0,0,0,0,0,1,0,0,0,9
pcddanbgknjmmnbcddgncpigdchgihlo,Fun,0,0,0,0,0,0,0,0,0,1,0,0,15
dfibeojaonokcgmgdmakkipgnfieclfn,Fun,0,0,0,0,0,0,0,1,1,0,0,0,5
fijncdcfiafomlkmhkhnjnfcaolddoca,Fun,0,0,0,0,0,0,0,0,0,0,0,0,9
chdiocfkdadffpdomkbogkaaojggclcf,Fun,0,0,0,0,0,0,0,0,0,1,0,0,5
bpnfacghgpkdiglphjbiebnmocfalkdi,Fun,0,0,0,0,0,0,0,0,0,1,0,0,2
aiedfpknnolnpdlecijpjlgglkmkfbko,Fun,0,0,0,0,0,0,0,1,1,0,0,0,5
gblfkgdklcmdedpcdedhoepgdldkfkfg,Fun,0,0,0,0,0,0,0,0,1,1,0,0,8
gpgjaoiopnickdhpapgglbckmbemeicg,Fun,0,0,0,0,0,0,0,0,1,0,0,0,11
iplpegadijlkmakkbfgdioeidmomonnb,Fun,0,0,0,0,0,0,0,1,0,0,0,0,9
klpmjmdkjjgfjmnklidpenjbpiegcbbp,Fun,0,0,0,0,0,0,0,1,1,1,0,0,11
iickajifjeeggpajolinaglnieacdico,Fun,0,0,0,0,0,0,0,1,1,1,0,0,14
nffcflnghoidmimeolpggdnboojmhpod,Fun,0,0,0,0,0,0,0,1,1,1,0,0,16
njcdcnbfdnpbgeknnokdpenhkimaadjf,Fun,0,0,0,1,0,0,0,1,1,1,0,0,1
ipbomdgbpmieeeekoneeikpjgidfdbkk,Fun,0,0,0,0,0,0,0,1,1,0,0,0,8
kbglnbfodmffablapddmaoopjpdlhjep,Fun,0,0,0,0,0,0,0,0,0,0,0,0,7
pifhgfgoelgmadmhobbfcddhjjmijicf,Fun,0,0,0,0,0,0,0,1,1,1,0,0,7
fkffoabocfddlkgnabinamdobpbeipdm,Fun,0,0,0,0,0,0,0,0,1,1,0,0,4
knglefkdmonaaodmfkipllpnjhoaelmn,Fun,0,0,0,0,0,0,0,1,1,1,0,0,18
lgjkcggimojaigjbcdjgnnbfaekmcfhl,Fun,0,0,0,0,0,0,0,1,1,0,0,0,18
mneeidilpomcohenhfcnlhjfaglkflbi,Fun,0,0,0,0,0,0,0,1,1,1,0,0,13
afjeijkfobmcgjpflphnpcbbflkjipll,Fun,0,0,0,0,0,0,0,1,1,1,0,0,17
ndomadhkgbkebokajpaeobjlajeebhoo,Fun,1,1,1,1,1,1,1,1,1,1,1,1,0
ndmihagclflcknlcndiehphjkiaadlnd,Fun,0,0,0,0,0,0,0,1,1,1,0,0,9
innnfgbpifgbnglcfdcmklifnjccbngi,Fun,0,0,0,0,0,0,0,1,1,1,0,0,12
okhflledjnncmkpgikalgigbnomlhapl,Fun,0,0,0,0,0,0,0,0,0,1,0,0,6
ialplkaoiknfeggibhkgbpmdnlglebeg,Fun,0,0,0,0,0,0,0,1,1,1,0,0,16
faikjkggoclbeabkigadengajchidand,Fun,0,0,0,0,0,0,0,1,1,1,0,0,8
ahohkinciamohcojhfkobgjfcnpgjcoi,Fun,0,0,0,0,0,0,0,1,0,1,0,0,7
ojjkpgilfficblkkigchjageachdmolj,Fun,0,0,0,0,0,0,0,1,1,1,0,0,11
ocijjicdbcgppehjfpbeoabloojmggkj,Fun,0,0,0,0,0,0,0,1,1,0,0,0,6
ncjelledebkihecnpphohloajgjbfcjc,Fun,0,0,0,0,0,0,0,0,1,1,0,0,12
ajdhibnfbodboedckdpfmeelbdolboap,Fun,0,0,0,0,0,0,0,1,1,0,0,0,5
gehplcbdghdjeinldbgkjdffgkdcpned,Fun,0,0,0,0,0,0,0,1,1,1,0,0,11
efmnegkcdpihoapclhefffnmijfdmcej,Fun,0,0,0,0,0,0,0,0,0,0,0,0,10
cgdfniooajgjlcmmfnkbgoleclofiokc,Fun,0,0,0,0,0,0,0,0,0,1,0,0,4
kbkglhmmmceknllmjggkddnppijeemdc,Fun,0,0,0,0,0,0,0,0,0,0,0,0,1
cmegglgihbannoeamfononcddkmhjomh,Fun,0,0,0,0,0,0,0,1,1,0,0,0,13
hfgbpmknceenkbljmjlogkmhbpnbiika,Fun,0,0,0,0,0,0,0,1,1,1,0,0,11
ldohkolkllpbombniiplingacfmjhdoa,Fun,0,0,0,0,0,0,0,1,1,0,0,0,6
jmkanbembdlmcofbdpiapckjndmjioih,Fun,0,0,0,1,0,0,0,1,1,1,0,0,2
ngmklkcbogmcobhiiglefpljdopgfbpn,Fun,0,0,0,0,0,0,0,0,0,0,0,0,3
lbjenjfljjnlkbdfbgmgcnkfnddaeccl,Fun,0,0,0,0,0,0,0,0,0,1,0,0,9
fdljkpeinigalmoahkgmkihkolpdhdkl,Fun,0,0,0,0,0,0,0,1,1,0,0,0,12
klmphhlmjloaggkkkglfmhkamkjeinod,Fun,0,0,0,0,0,0,0,1,0,1,0,0,6
cnfbmilldabngpgfikfhpknkocljgbie,Fun,0,0,0,0,0,0,0,1,1,1,0,0,8
fnobagdbhijokinnhfpelnjlkogkebgj,Fun,0,0,0,0,0,0,0,1,1,0,0,0,12
bfmokmlmgdokocinklijembgmddagncf,Fun,0,0,0,0,0,0,0,1,0,0,0,0,16
pchnhpnkmcofkahagidkfpbmbgcdgego,Fun,0,0,0,0,0,0,0,0,0,1,0,0,3
akobefhapijlndhokelaicejmfmiiolo,Fun,0,0,0,0,0,0,0,1,0,1,0,0,7
kaphipbedfkgogpnainaoemcjanplfbf,Fun,0,0,0,0,0,0,0,1,0,1,0,0,13
dhodhnbmihkikehapfaellcieljelgnp,Fun,0,0,0,0,0,0,0,1,0,1,0,0,12
ahaomenoemkdoibmfhljpmlobeameaei,Fun,0,0,0,0,0,0,0,1,1,0,0,0,7
gfgbichnjjonpnflfhkachdejanjplgg,Fun,1,0,0,1,0,0,0,0,0,1,0,0,4
fghepoefghnkmbhhjdmijjidpmphfojo,Fun,0,0,0,0,0,0,0,0,1,1,0,0,8
aegdchkpegjbdifjggbajnddbgifanjl,Fun,0,0,0,0,0,0,0,1,1,0,0,0,6
kmplaniaklbopclhoiigfjfmnigecapd,Fun,0,0,0,0,0,0,0,1,1,1,0,0,11
ahbjlmcgpnondmgkgndhlpfobpjkmdoe,Fun,0,0,0,0,0,0,0,1,1,1,0,0,7
hgpikajigaejlihbfehgpcjjmegkkjpc,Fun,0,0,0,0,0,0,0,0,0,1,0,0,13
cjppdomnoifffoggeknfbioabalneeha,Fun,0,0,0,0,0,0,0,1,1,1,0,0,7
ncdnlcgchccplihcjhkcieaebhkjkjof,Fun,0,0,0,0,0,0,0,1,1,1,0,0,11
dkgmiihpfdladnhhlfgkfafkidcbnofc,Fun,0,0,0,0,0,0,0,1,1,0,0,0,1
ohfnlgecnicbbgcgdefbkelepccnccki,Fun,0,0,0,0,0,0,0,1,1,1,0,0,10
afpomjpjalofnkckaomalkchbdalkhha,Fun,0,0,0,0,0,0,0,0,0,1,0,0,8
gelfgldejnhgpjcbnfpkglhpelajafao,Fun,0,0,0,0,0,0,0,1,1,0,0,0,14
phcgdpgoofnibfjcekphmdbjhkdfnkad,Fun,0,0,0,0,0,0,0,0,0,1,0,0,1
hfbjphgoffoahbnlkpfijmefofmmcfng,Fun,0,0,0,0,0,0,0,1,1,1,0,0,6
dkkfpbfdcbjfoliehdgiknhfpdiemabg,Fun,0,0,0,0,0,0,0,0,0,0,0,0,1
kohnonlalhadnjpmjcdebkdpbfmplmed,Fun,0,0,0,0,0,0,0,0,0,1,0,0,3
gnblbpbepfbfmoobegdogkglpbhcjofh,Fun,0,0,0,0,0,0,0,1,1,1,0,0,14
kndlhmcclhldkajdikkdjpaaeolkccnp,Fun,0,0,0,0,0,0,0,1,1,0,0,0,11
cbpokcpkhhiiafchdifcgmdgbhcbfmdk,Fun,0,0,0,0,0,0,0,1,1,1,0,0,17
jgpdnljlicegmabnicocbaamfocgbabe,Fun,0,0,0,0,0,0,0,1,1,0,0,0,14
aedfdcjgbmjjjppcjkndjledefplpfbo,Fun,0,0,0,0,0,0,0,0,0,1,0,0,10
pghhaihcmffdmndjcagdgogjockdnaao,Fun,0,0,0,0,0,0,0,1,1,1,0,0,13
noindofpjphoggjpelglbphkpmpidekl,Fun,0,0,0,0,0,0,0,1,1,1,0,0,10
jblmpmnoeabpdelphfbifcleknfekjlp,Fun,0,0,0,0,0,0,0,1,1,1,0,0,10
aeecchlpkihnbkjemkjkofeeckcehcfd,Fun,0,0,0,0,0,0,0,0,0,1,0,0,5
dbjhmpmaehamokkakfmacgjepggojhmo,Fun,0,0,0,0,0,0,0,1,1,1,0,0,15
eoanajibkfalbcnonkkapdophnfaedbi,Fun,0,0,0,0,0,0,0,0,1,1,0,0,3
jcnfhefikjdhnkagkifkdageaphlinga,Fun,0,0,0,0,0,0,0,1,1,1,0,0,7
ejmaleckfjojcngnnpcmmebnkdcgpced,Fun,0,0,0,0,0,0,0,1,1,1,0,0,14
opjmkgcfeidfiafbhigicejodpnpcbbc,Fun,0,0,0,0,0,0,0,1,1,1,0,0,12
bjlicnjijlfodoekhjpnagodmcppabmc,Fun,0,0,0,0,0,0,0,1,1,1,0,0,9
nknbcamkdcfhfndpenfldjeefekefnec,Fun,1,0,0,1,0,0,0,1,1,1,0,0,12
gceclgkfceopbfifflgkhokkdcbgajpd,Fun,0,0,0,0,0,0,0,1,1,1,0,0,6
fegnjfjcokdemicjjhiihkggbniknnbg,Fun,0,0,0,0,0,0,0,0,0,1,0,0,5
geggkgmkcghccndcoihfklmaojdbgaio,Fun,0,0,0,0,0,0,0,0,1,1,0,0,3
jiciecmmhfbcefjjmbbbkcjbjlomoemh,Fun,0,0,0,0,0,0,0,0,0,0,0,0,9
kfnaafpoedgfocjkmoebekdkbojhpggn,Fun,0,0,0,0,0,0,0,1,1,0,0,0,13
bjgobcfbjhhlpagdhliedbppeagedomo,Fun,0,0,0,0,0,0,0,0,0,0,0,0,11
oldojieloelkkfeacfinhcngmbkepnlm,Fun,0,0,0,0,0,0,0,1,0,1,0,0,11
dfaagpaobpbaebegpgcdfnanamejfonl,Fun,0,0,0,0,0,0,0,0,0,0,0,0,5
imbfmegcnkldnacnaebdklloifpaibag,Fun,0,0,0,0,0,0,0,1,1,0,0,0,14
kcgedkeajhbfkackhppmenimpfpnopje,Fun,0,0,0,0,0,0,0,1,1,1,0,0,9
lohadnlceknkeghabiacipjnenbjfmle,Fun,0,0,0,0,0,0,0,1,1,1,0,0,8
iiikanmnkgnffgooldnibpeeclcmnfoc,Fun,0,0,0,0,0,0,0,1,1,1,0,0,2
bjkdfohgclpddacfioboebgllejmnfoc,Fun,0,0,0,0,0,0,0,0,0,0,0,0,6
mpnckpmpddjcgkpjkmmakcamjhceadne,Fun,0,0,0,0,0,0,0,1,1,1,0,0,10
jiahkbcijeildjopfnjcgoildcjjejkm,Fun,1,1,1,1,1,1,1,1,1,1,1,1,0
ifbmeonmfobjfkfhahcccfnoldmaccdg,Fun,0,0,0,0,0,0,0,1,0,0,0,0,6
jkaddaomlnmhfjghihkioafdeacbdlla,Fun,0,0,0,0,0,0,0,0,1,0,0,0,2
mkpmdndgoofaejbjgjmgcabhekahdijh,Fun,0,0,0,0,0,0,0,0,1,1,0,0,4
ipmfeedmdlannjnlfkonkgkhjmmmfllp,Fun,0,0,0,0,0,0,0,0,0,0,0,0,7
gndlidjekfjblnggmfbijcifjikdbbfm,Fun,0,0,0,0,0,0,0,1,1,0,0,0,8
jhhlfjmplhlbjcgdnbocbkkgnfanblhe,Fun,0,0,0,0,0,0,0,1,1,1,0,0,14
ogpopnbejkodenopnihpahafkggdbcnk,Fun,0,0,0,0,0,0,0,0,0,1,0,0,14
gonmdfngfjcldfoejpnmkeaggpnbpmlp,Fun,0,0,0,0,0,0,0,0,0,0,0,0,2
bkppdoljoicnljpmioeepomnekpggmbi,Fun,0,0,0,0,0,0,0,0,1,1,0,0,12
bgphbmgknmheckemomkeecclbljcdgdo,Fun,0,0,0,0,0,0,0,0,0,1,0,0,7
ebaefdpblafgialklhjkpakpjfjblnbd,Fun,0,0,0,0,0,0,0,0,0,0,0,0,7
jildenddhljffmiagdbmfmmbfpoooiba,Fun,0,0,0,0,0,0,0,1,0,0,0,0,8
inohdddgegbdekbmakdkanfijmgojfoh,Fun,0,0,0,0,0,0,0,1,1,1,0,0,6
gkmbgefefaeajgefeehpjfddphckjdbj,Fun,0,0,0,0,0,0,0,0,1,0,0,0,5
imomdalmmacbjhkffaoiibdlckmijpge,Fun,0,0,0,0,0,0,0,1,1,0,0,0,13
dlobignndchnmiaeeoldclglifpbdojo,Fun,0,0,0,0,0,0,0,1,1,1,0,0,4
imbncilibdpngpkpbnhadjfcjoplkpfc,Fun,0,0,0,0,0,0,0,1,1,1,0,0,12
fkjlfcciopdknfapdifcbcglkjkakgeb,Fun,0,0,0,0,0,0,0,1,1,1,0,0,13
okfcnakgmcjoclceiimehpkcdhmceegl,Fun,0,0,0,0,0,0,0,0,0,1,0,0,8
ggginhgnaafdilkaegnlpdhppdaofknc,Fun,0,0,0,0,0,0,0,0,0,1,0,0,6
dgflocgmhcgcfcdnikcihjmfdfdefmbi,Fun,0,0,0,0,0,0,0,0,0,1,0,0,5
aifeefkjjgpligmhmfdckemmmjgeigoa,Fun,0,0,0,1,0,0,0,1,1,1,0,0,17
fjapdhhpaphbacamfifpjjaonccppjhm,Fun,0,0,0,0,0,0,0,0,1,1,0,0,6
kglbhgihidejfkdlkoclnllbanbblbjb,Fun,0,0,0,0,0,0,0,0,0,0,0,0,8
ajhlmmkocpickopfnjdbapohpjllghpo,Fun,0,0,0,0,0,0,0,0,0,0,0,0,9
lbihcooabipkbghkidjdjhcafbmieieo,Fun,0,0,0,0,0,0,0,0,0,0,0,0,7
cfcfdcmfidkkggcbmmedebfjmdmjpckk,Fun,0,0,0,0,0,0,0,1,1,0,0,0,16
hhikbnpokkilojeondgelobdcaklfmji,Fun,1,1,1,1,1,1,1,1,1,1,1,1,0
lnkcbfimmmgcemkbgfghlpoamhoakdif,Fun,0,0,0,0,0,0,0,0,1,0,0,0,8
baofkdkhghifeecmmjjoemfflapgcdgf,Fun,0,0,0,0,0,0,0,0,0,0,0,0,7
gjoimmimmkpppgkhobhceblafkienddi,Fun,0,0,0,0,0,0,0,0,1,0,0,0,14
chboogcfikcgfogkapbnpoopginlkcan,Fun,0,0,0,0,0,0,0,0,1,1,0,0,9
dddonmdoiepbnlieemndhohfdhjplcce,Fun,1,0,0,0,0,0,0,1,1,1,0,0,12
mjpponglbellandpimdbmmhbhmakcgji,Fun,0,0,0,0,0,0,0,1,1,1,0,0,14
hbibebchddoeboinjbmlknaepikanpll,Fun,0,0,0,0,0,0,0,1,1,1,0,0,15
bglclhiilefknmpahmhjpbildepahbfa,Fun,0,0,0,0,0,0,0,1,1,1,0,0,11
fhoobliddjjhdkjjjbfjkbbcmcfndadc,Fun,0,0,0,0,0,0,0,1,1,1,0,0,2
lijdcpfabkjjfipnaihkgfnhfnammmlm,Fun,0,0,0,0,0,0,0,1,1,1,0,0,14
camhbgacpldjhclhehpgkebbiejdbneg,Fun,1,0,0,0,0,0,0,0,0,0,0,0,3
haanhnldgbkfdipffdmokgfknbfdichc,Fun,0,0,0,0,0,0,0,1,1,1,0,0,7
bmhhcbkecilnepbngphbacekcfmfkifb,Fun,0,0,0,0,0,0,0,0,0,0,0,0,5
idbdcmilkpggmjiininmdpmblbkdljbc,Fun,0,0,0,0,0,0,0,1,1,1,0,0,8
jkagjalmahhcoblcdoojicpabolpmhkn,Fun,0,0,0,0,0,0,0,1,1,1,0,0,12
phofoojefmgalfjnfkhpnknkndmmlkdh,Fun,0,0,0,0,0,0,0,1,1,0,0,0,2
nddfbgokhdfoblnpkimiegepgnmhofcf,Fun,0,0,0,0,0,0,0,1,1,1,0,0,12
mlkpfclkgiaocddpdpcmabfghfhhcnao,Fun,0,0,0,0,0,0,0,0,0,0,0,0,4
dikhdfcjikangpjagmjpmfhebabmnklj,Fun,0,0,0,0,0,0,0,1,1,0,0,0,9
akiljfelldgbgfehkamjghmeabihbgnl,Fun,0,0,0,0,0,0,0,1,1,0,0,0,5
imomahaddnhnhfggpmpbphdiobpmahof,Fun,0,0,0,0,0,0,0,1,1,1,0,0,10
gjlhdoabnndhomflajocgaighngianpi,Fun,0,0,0,0,0,0,0,1,0,1,0,0,9
pllehomkaepknkjficnkemogahbnebol,Fun,1,0,0,0,0,0,0,0,0,0,0,0,4
elinjnnjbogbjikhnkebppfedankbdkk,Fun,0,0,0,0,0,0,0,1,1,0,0,0,11
ahhpgbiejgpebbokpbgcenooehhcnbjd,Fun,0,0,0,0,0,0,0,1,1,1,0,0,7
lhkilpomcgmodiplepjaebjimlfjogcl,Fun,0,0,0,0,0,0,0,1,0,1,0,0,8
cejbolgkepmpidebjmajgbdiphpaogem,Fun,0,0,0,0,0,0,0,1,0,1,0,0,6
fcoiihedkoepncejhcojgooljcflgpki,Fun,0,0,0,0,0,0,0,0,0,1,0,0,12
bhphnimilddhpmaiijaijhaneeljeklm,Fun,0,0,0,0,0,0,0,1,1,1,0,0,11
hjondneonkahmjbaalmgjpmpbnallend,Fun,0,0,0,0,0,0,0,0,0,0,0,0,11
hkidaibpkimofamahhlmadfofjnehoao,Fun,0,0,0,0,0,0,0,1,1,0,0,0,11
ncglaklgjhegjljeggjcadomndcfbfgf,Fun,0,0,0,0,0,0,0,1,1,1,0,0,3
acfepeinaeiknidchjaaocbnhaokkhlj,Fun,0,0,0,0,0,0,0,1,1,1,0,0,9
iapkfaedafblcbjnjdhklenbcnedoodl,Fun,1,0,0,1,1,0,0,0,0,1,0,0,2
gdepigbcikbheccafffimclhkdhggkei,Fun,0,0,0,0,0,0,0,1,1,0,0,0,7
pinblffencpldaaojlplanileonnlmml,Fun,0,0,0,0,0,0,0,0,0,1,0,0,5
ihmmocpgjjlkbcpghfccdgiigkblmgem,Fun,1,0,0,1,0,0,0,0,0,1,0,0,7
gmalkkpemogocjdjnhbigppinmhpdflp,Fun,0,0,0,0,0,0,0,1,1,1,0,0,13
djnfalajlmneibddlminnlddleafpnal,Fun,0,0,0,0,0,0,0,0,0,0,0,0,6
hdbbfhhgongmegapboiajofcpadbhejn,Fun,0,0,0,0,0,0,0,0,0,1,0,0,8
pcjgpaoccfljpcenfoonloideeelljih,Fun,0,0,0,0,0,0,0,1,1,1,0,0,8
bahkpblcfiffamfljnfjeablplgnjnkg,Fun,0,0,0,0,0,0,0,0,0,1,0,0,10
binndblcbagpodgniocbbohkjgmebmjn,Fun,0,0,0,0,0,0,0,1,0,1,0,0,11
hkhoplnhcalogofmpojjibalhifgdomb,Fun,0,0,0,0,0,0,0,0,0,1,0,0,10
jmgpdnfgldcbfbcdefngkhopkohbejai,Fun,0,0,0,0,0,0,0,0,0,0,0,0,7
ojpakmlihanfioldonennlelmjgbnbmc,Fun,0,0,0,0,0,0,0,1,0,1,0,0,1
dpoadbcdpdgdogplijkpkepdecgocaom,Fun,0,0,0,0,0,0,0,1,0,1,0,0,15
micgklgohpdofbfhnjgbkngheaimenci,Fun,0,0,0,0,0,0,0,1,1,1,1,0,1
indmfmhlgkgikhkghlnnpbcbjpkfgiae,Fun,0,0,0,0,0,0,0,1,1,0,0,0,3
hcmmlpdmhngamdippjcakkfkeeaoofec,Fun,0,0,0,0,0,0,0,0,0,1,0,0,9
dkjikmdpclhdhinpibfkknpmoadogcbm,Fun,0,0,0,0,0,0,0,0,1,0,0,0,9
gfngehhjicdbefooglkiigaicahjdhhh,Fun,0,0,0,0,0,0,0,1,1,1,0,0,11
pfbboikkhccicacgmkbgnnbokkcbjeae,Fun,0,0,0,0,0,0,0,1,0,0,0,0,10
mjoefleiadoflphdfeacincfjmmmkgmo,Fun,0,0,0,0,0,0,0,1,1,1,0,0,6
jgkelgaddldnpkkekcjnejokhmfgajmb,Fun,0,0,0,0,0,0,0,1,1,0,0,0,4
bacfjdhpbcepapbkibpdmpaikphomene,Fun,1,0,0,0,0,0,0,1,1,0,0,0,5
apnmaeokijedbbdbnbanjeooijcmldlf,Fun,0,0,0,0,0,0,0,0,0,0,0,0,9
jnpcpagdkiglbjpifgpndcgcapghnbdp,Fun,0,0,0,0,0,0,0,1,1,0,0,0,13
jmcpmjddfmhhfopfockoceelnjofidbb,Fun,0,0,0,0,0,0,0,1,1,1,0,0,6
boaikbhebpdfliadonpcnbjipnlnmaoe,Fun,0,0,0,0,0,0,0,0,1,1,0,0,12
aickjkenlpkgbghpkkenlbffpiookpai,Fun,0,0,0,0,0,0,0,0,1,1,0,0,11
hjlcaloncehapohimhmnnmhahoaakpag,Fun,0,0,0,0,0,0,0,1,1,1,0,0,8
fpfkjopiajnhedcnccdlflafjcinnead,Fun,0,0,0,0,0,0,0,0,1,0,0,0,13
