ext,category,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS,Total Finded
bahepfoheafkldfpckcbpdgdamopmcic,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,10
egkaagndoijoeojpecjepkepacaeblgf,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,14
mmbiohbmijkiimgcgijfomelgpmdiigb,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,13
pbbcgecjmpkglppfjjggkkbhdnlemhkg,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,9
fldkpbdmnjbpacjepdcfimbfefnjliec,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,5
lgjacmagmancjplbplgbhijlfhbibmak,Accessibility,0,0,0,1,0,0,0,0,1,1,0,0,5
ncknaobecnibkpanffkegnkmilafnofh,Accessibility,0,0,0,1,0,0,0,1,1,1,0,0,4
fkmkefpehlolmdiloilglfcojbomaoii,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,10
gcoccemhdpkfmhonnkigkijldhlhgelm,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,2
mhnmnkhghkjdhidiionpflafhbmmkkic,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,9
hhocnbflnknkooipcgpeigageelgnlpe,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,10
acdccagfnnkklfpgdiinndjeijdjamfj,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,7
lcndkednhomjlpjdanlklaefhfnedcdk,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,10
iogiogeapepneaidnpjagfmdhdlgefnh,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,5
lbijplknackhkkopnihoedjjbipoknik,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,10
olagniaikhbmpdgghoifgloijcndfled,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,7
bnhpmjnifppbemfkmfpgadhfaemgkoia,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,7
hbekfodhcnfpkmoeaijgbamedofonjib,Accessibility,1,0,0,0,0,0,0,1,1,1,0,0,8
emcdkbmoobfkkojdkncpejgmlhngokdc,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,8
imimolldggofidcmfdkcffpjcgaggoaf,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,8
hpihdokfdmmghaclaojfpmbckkhjgebc,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,8
gbaciehpncglfaggbdamobbnbjgmhkif,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,5
bdephjnbbdiaglnlhemkefhkedjgckag,Accessibility,0,0,0,0,0,0,0,1,0,0,0,0,10
enbcdbjgnbikmgkoiajfkngfcbjdoobi,Accessibility,0,0,0,1,0,0,0,0,1,1,0,0,6
abjcobameomoocdflloiegijddfoojjd,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,4
gpgdkbjhojmcmkpldiopicipgolddmfg,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,4
nlejongokighfhpbgjpebeipeofncpda,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,8
inljlekbkjjcjmbjikaekmliindfopmi,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,5
nediigdbkfmemfcleolaonlpbigjhjhi,Accessibility,0,0,0,0,0,0,0,1,0,0,0,0,10
anglpehdlhfofnjcgbdakdbimficlaic,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,7
akaimhgappllmlkadblbdknhbfghdgle,Accessibility,0,0,0,0,0,0,0,1,0,0,0,0,5
cnehfglpkbfehfkpngoimhemfeppejpl,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,9
