ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
ajiadbkfhmfpchhimkfegnfidhnhlfde,0,0,0,0,0,0,0,4,2,1,0,0
amfempcmjjaaoppnkbfokameamdppjdm,0,0,0,1,0,0,0,33,1,1,0,0
bebafkkenckgflalgfibfbcnilpdomdi,0,0,0,0,0,0,1,0,0,0,0,0
aollofiafbblhopkofbfmlmbhbdcblem,1,0,0,1,0,0,0,25,61,2,2,0
cffnijbaiiahkoanhghbiomlefdmpoco,0,0,0,0,0,0,0,3,0,1,0,0
cdopjfddjlonogibjahpnmjpoangjfff,1,0,0,1,0,0,0,20,17,1,3,0
aidompfihhjpgdgcklcdiobfifabnapl,9,0,0,11,0,0,0,1,5,1,0,0
cfilkjdlgdiclmdfdggjommndffiibbe,0,0,0,0,0,0,0,3,0,0,0,0
acijiokfkpnmbbbnhgikljmefiefepfn,0,0,0,0,0,0,0,2,3,2,0,0
aghpiipfpgdiadkibmddeinngbboajbl,0,0,0,0,0,0,0,0,0,1,0,0
chdkakijenpecgaedoeeceaajjcodbej,0,0,0,0,0,0,0,0,0,0,0,0
aeachknmefphepccionboohckonoeemg,1,0,0,2,0,0,0,26,5,2,0,0
bggibicdeedcagmnibgoaggaciolkdhg,0,0,0,0,0,0,0,0,0,0,0,0
bdbhephmimagiadamkkipjedljddgncb,0,0,0,0,0,0,0,0,1,0,0,0
adeiiccfiaoojihmdgicoicobbonalkk,0,0,0,0,0,0,0,0,0,1,0,0
aioheomkldpmjlfdjnookgcpekdegamn,0,0,0,3,0,0,0,12,5,1,0,0
cjmopppnmoghfkipjcgjgjkbfeaehldi,0,0,0,0,0,0,0,0,23,0,0,0
cnbdgmpldpdfjjbmhdjpcmnfekleidnc,0,0,0,0,0,0,0,0,1,0,0,0
cljpgdcdlcmcikfppblgnfdjhmbbjpeo,0,0,0,0,0,0,0,7,4,0,0,0
ciigjjbgkiopknkifamokbojdmgockak,0,0,0,0,0,0,0,5,0,0,0,0
bmoeljkahcfgehdkfkeafinpnfmkabda,1,0,0,3,0,0,0,7,0,1,0,0
bihplaelndapigjjgeikndieijpbiffh,0,0,0,0,0,0,0,0,3,1,0,0
clcbdgojnikjpnplbflmmckolehpenil,0,0,0,0,0,0,0,15,6,0,0,0
bebifbmgjfflijfjnfhifdggnbhdafnp,0,0,0,0,0,0,0,5,47,0,0,0
cenkmofngpohdnkbjdpilgpmbiiljjim,3,0,0,1,0,0,0,33,7,1,0,0
cpjholdakjpfhdjafidbmfbpmjfhfdgd,0,0,0,0,0,0,0,1,0,0,0,0
apmdbbjakfnangndikaijbehbhkcknna,0,0,0,0,0,0,0,3,1,0,0,0
cnmnalakipnobjijcnnnkbpeejjhhdkn,0,0,0,0,0,0,0,1,13,0,0,0
cncafkneilkicolelogcmmgblojmhfng,0,0,0,0,0,0,0,0,0,0,0,0
aeghnecfboaaiahloenjabomdmodhpla,1,0,0,1,0,0,0,8,3,1,0,0
commigeamibeednpjebidkjdognembeh,0,0,0,0,0,0,0,0,2,0,0,0
amnikpekgoejcpelejppemiglnhknhoe,0,0,0,0,0,0,0,1,2,1,0,0
bgfalbljifeicggidnbkdicbkhboggmg,0,0,0,0,0,0,0,1,6,0,0,0
bpofmjgcicbgpneaobbeindcjmblmaae,0,0,0,0,0,0,0,2,7,1,1,0
begfocfoplhcgcgoanehfhhegfhflfbp,0,0,0,0,0,0,0,3,0,0,0,0
cngjffifaffgcnkbgholcibboaogojcc,0,0,0,0,0,0,0,5,0,0,0,0
chnkbocgdlmiiallefgodgmcogodaion,0,0,0,2,0,0,0,23,1,0,0,0
cffhgkhnipcfjokkffpplbghcpllokip,0,0,0,0,0,0,0,0,1,1,0,0
chlkkednboinlgplkodpffelhmcahccg,0,0,0,0,0,0,0,0,1,0,0,0
coajlchcclpgbfhknjoeejoenmjcmdkp,0,0,0,0,0,0,0,0,0,0,0,0
abiapkipdmjcakccdnbmohggiohkjmhk,1,0,0,0,0,0,0,3,1,1,0,0
apilamcmachbheijojlagfcbnofbabcj,0,0,0,0,0,0,0,8,1,0,0,0
abcmjdhbopfnfkdonmkadfdghgipdeic,0,0,0,0,0,0,0,0,0,0,0,0
bfdncfkednkpjhekkidgnepoplndhgnf,0,0,0,0,0,0,0,0,0,0,0,0
baoflgfnbageibinfblljpckkgdoaknl,0,0,0,0,0,0,0,33,0,0,0,0
adeogdcibcngnkofabmpicgohlpcopmg,0,0,0,0,0,0,0,21,21,2,0,0
caobfhiajcdhiffmfledgflhilcikggf,0,0,0,0,0,0,0,0,1,0,0,0
cdhnnifbhmggaaehajmgnofcggobfjkp,0,0,0,0,0,0,0,8,11,0,0,0
calhgleedaaigmhnoklfenlfhlbfdloo,0,0,0,0,0,0,0,2,60,0,0,0
bbnomnjfdibkpkbnhfbomeccmgldlico,0,0,0,0,0,0,0,0,5,0,0,0
clhjckblfjcoemnbadonkmhodgfodmkp,0,0,0,0,0,0,0,2,0,0,0,0
bdfjfnmakopmjejhmjhokfmbceppbnmk,0,0,0,0,0,0,0,0,0,0,0,0
cgfgpbckaeibjngepigdbjoljcfcecfk,0,0,0,0,0,0,0,14,0,0,0,0
bhbcahglmimjgfnogikemjgeidefkggb,0,0,0,0,0,0,0,3,0,1,0,0
bidnaaogcagbdidehabnjfedabckhdgc,1,0,0,1,0,0,0,19,13,2,0,0
anlebgknmofbanplmaphgacnjddijdjj,5,0,0,1,0,0,0,61,51,1,0,0
apbjhmeabebkfjlofaofoilpinafalom,0,0,0,0,0,0,0,2,4,0,0,0
cpchgjdkejolbebbclgjmfpkningomkd,0,0,0,0,0,0,0,3,2,0,0,0
coiffdkoeimkhbfobbbddndmnkjeefbe,0,0,0,0,0,0,0,10,4,0,0,0
bcdcdmdmlaccfaojopncpmbpojgfejie,0,0,0,0,0,0,0,7,3,0,0,0
cdhgohknmmkonojeajegbnkbmfkkhobb,0,0,0,0,0,0,0,0,0,0,0,0
ahhalickndgjlapkbmmjjmjdebfglode,0,0,0,0,0,0,0,0,0,0,0,0
bbdcecgicccjncdihmemdconeaijbmgf,0,0,0,0,0,0,0,0,1,0,0,0
bcmbdiempfifibcoenpgmdcmaacdiocj,0,0,0,0,0,0,0,15,0,0,0,0
