id,category,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS,Total Finded
bahepfoheafkldfpckcbpdgdamopmcic,Accessibility,1,0,0,1,0,0,0,8,6,6,0,0,10
egkaagndoijoeojpecjepkepacaeblgf,Accessibility,0,0,0,0,0,0,0,10,5,9,0,0,14
mmbiohbmijkiimgcgijfomelgpmdiigb,Accessibility,1,0,0,2,0,0,1,7,3,7,0,0,13
pbbcgecjmpkglppfjjggkkbhdnlemhkg,Accessibility,1,0,0,1,1,0,1,8,7,6,0,0,9
fldkpbdmnjbpacjepdcfimbfefnjliec,Accessibility,2,0,0,2,0,0,0,2,2,2,0,0,5
lgjacmagmancjplbplgbhijlfhbibmak,Accessibility,2,0,0,3,0,0,0,2,3,4,1,0,5
ncknaobecnibkpanffkegnkmilafnofh,Accessibility,1,0,0,2,0,0,1,3,2,2,1,0,4
fkmkefpehlolmdiloilglfcojbomaoii,Accessibility,4,0,0,4,0,0,0,9,7,7,1,0,10
gcoccemhdpkfmhonnkigkijldhlhgelm,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,2
mhnmnkhghkjdhidiionpflafhbmmkkic,Accessibility,1,0,0,3,0,0,0,4,6,6,1,0,9
hhocnbflnknkooipcgpeigageelgnlpe,Accessibility,3,0,0,3,0,0,0,4,8,9,1,0,10
acdccagfnnkklfpgdiinndjeijdjamfj,Accessibility,1,0,0,1,1,0,0,1,6,7,0,0,7
lcndkednhomjlpjdanlklaefhfnedcdk,Accessibility,1,0,1,1,1,0,0,5,4,6,0,0,10
iogiogeapepneaidnpjagfmdhdlgefnh,Accessibility,1,0,0,1,1,0,0,0,0,2,0,0,5
lbijplknackhkkopnihoedjjbipoknik,Accessibility,3,1,0,3,0,1,0,8,8,6,1,0,10
olagniaikhbmpdgghoifgloijcndfled,Accessibility,0,0,0,0,0,0,0,3,2,4,0,0,7
bnhpmjnifppbemfkmfpgadhfaemgkoia,Accessibility,1,0,0,1,0,0,0,4,6,5,0,0,7
hbekfodhcnfpkmoeaijgbamedofonjib,Accessibility,4,0,0,3,0,0,0,5,4,6,0,0,8
emcdkbmoobfkkojdkncpejgmlhngokdc,Accessibility,0,0,0,0,0,0,0,2,3,6,0,0,8
imimolldggofidcmfdkcffpjcgaggoaf,Accessibility,1,0,0,1,0,0,0,5,4,6,0,0,8
hpihdokfdmmghaclaojfpmbckkhjgebc,Accessibility,1,0,0,1,0,0,0,3,8,4,0,0,8
gbaciehpncglfaggbdamobbnbjgmhkif,Accessibility,1,0,0,0,0,0,1,0,3,4,0,0,5
bdephjnbbdiaglnlhemkefhkedjgckag,Accessibility,0,0,0,0,0,0,0,5,4,2,0,0,10
enbcdbjgnbikmgkoiajfkngfcbjdoobi,Accessibility,2,0,0,4,0,0,0,1,6,5,0,0,6
abjcobameomoocdflloiegijddfoojjd,Accessibility,0,0,0,0,0,0,0,1,1,3,0,0,4
gpgdkbjhojmcmkpldiopicipgolddmfg,Accessibility,0,0,0,0,0,0,0,4,3,2,0,0,4
nlejongokighfhpbgjpebeipeofncpda,Accessibility,2,0,0,3,0,0,0,6,5,6,1,0,8
inljlekbkjjcjmbjikaekmliindfopmi,Accessibility,2,0,0,1,0,0,0,0,2,5,0,0,5
nediigdbkfmemfcleolaonlpbigjhjhi,Accessibility,0,0,0,0,0,0,0,6,4,4,2,0,10
anglpehdlhfofnjcgbdakdbimficlaic,Accessibility,0,0,0,0,0,0,0,5,5,5,0,0,7
akaimhgappllmlkadblbdknhbfghdgle,Accessibility,0,0,0,0,0,0,0,4,2,2,0,0,5
cnehfglpkbfehfkpngoimhemfeppejpl,Accessibility,2,0,0,2,0,0,1,8,7,5,0,0,9
nndloomnepdkmbaohgomkojklffgncjm,Accessibility,0,0,0,1,0,0,0,7,6,9,0,0,13
dbiljoifjihhnghopaokjicepkcdfglo,Accessibility,2,0,0,3,0,0,0,11,9,7,0,0,12
ildbfpaelempeokjfldpclbfggjkhdhl,Accessibility,1,0,0,1,0,0,0,3,4,4,0,0,6
kmmmcmbbhfdabgpbdobcjnihbbpkogpn,Accessibility,0,0,0,0,0,0,0,6,9,3,0,0,9
gkfdmicoabhfiikenoajdelcibhakkfc,Accessibility,0,0,0,0,0,0,0,5,4,3,0,0,6
miobdnlklljmcbdjfchaiahbpjcphddb,Accessibility,1,0,0,2,0,0,0,10,9,5,0,0,14
