ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
cgmhgmpiiicejkaokpdplknopmjahokp,0,0,0,0,0,0,-1,0,0,0,1,1
cinnaghekiafnplijmadmifnoaecefdd,0,0,0,1,0,1,1,0,0,1,1,1
ncacfdgphnhapbgjkpelgbbbidhconjl,-1,0,0,0,0,1,1,0,0,0,0,1
aihmkbhfjjbgnckhnccajglkgafclgin,0,0,0,1,1,0,0,0,1,-1,1,1
geockglncnddpcfonoilkfddaddknjnp,-1,0,0,0,0,1,1,1,1,0,0,1
ookcfeohfcfmpapmafpljepfljnlkdcn,1,0,1,0,0,0,0,0,0,-1,-1,0
igopmeppmijehcoikklecabcdflhopgh,0,0,0,0,0,0,0,1,0,-1,1,0
kobbafbmlbbpmljdefioncacindlibpj,-1,0,0,0,0,1,1,0,0,0,0,1
ifjffhflklmpcianpmplmnlnmfpbfdcp,0,0,0,1,1,0,0,0,0,0,1,1
lmlkbclipoijbhjcmfppfgibpknbefck,0,0,0,1,0,1,1,0,0,1,0,1
npdkkcjlmhcnnaoobfdjndibfkkhhdfn,0,0,0,0,0,0,0,0,0,-1,1,1
nipfocapamlefjhldhcagammlldbangf,0,0,0,1,1,1,1,0,0,0,0,1
bpconcjcammlapcogcnnelfmaeghhagj,-1,0,0,0,0,1,1,0,0,0,0,1
camfdpcgapdnbokfgemmhdjeoajendmk,0,0,0,1,0,1,1,0,0,1,-1,1
nofndgfpjopdpbcejgdpikmpdehlekac,0,0,0,-1,0,0,1,1,0,0,1,0
pjdeblccplohlgedbefopohaedodcgci,0,0,0,1,0,1,1,1,1,1,0,1
ehpgcagmhpndkmglombjndkdmggkgnge,0,0,0,1,0,1,0,0,0,1,-1,1
difojhphdkeielekajnflmacfdebhkkk,-1,-1,0,0,0,1,1,0,0,0,1,1
eignhdfgaldabilaaegmdfbajngjmoke,0,0,0,1,1,1,1,1,1,1,0,1
pjnlpkkjpibmdkbceojodbbkcggdokon,0,0,0,1,1,1,1,0,0,1,0,1
ceggpinhhmjppnindgmdahlibhmdbknj,0,0,0,0,1,0,0,1,1,-1,1,1
docdmgijbdlobilamkipaleciekbgbgl,0,0,0,0,0,1,1,0,0,0,0,1
dbkmhaamlapkjabaieclhlofhnaoccmb,0,0,0,1,0,1,1,0,1,0,0,1
fapajikkoocfeplemejmhcfenfdelbdg,1,0,1,-1,0,0,0,0,0,0,0,0
