ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
bhcooncifaocbhnjmembfbhchoogolcp,0,0,0,0,0,0,0,0,0,1,0,0
bhdaglkclfmpgfggcppncdkahjnlimcj,0,0,0,1,0,0,0,0,0,1,0,0
bhddcpbcpjgehcdanidfppngfcjnpodi,0,0,0,0,0,0,0,0,0,1,0,0
bhddppodjinmkoakbppenpbpodbcjgam,0,0,0,0,0,0,0,0,0,1,0,0
bhdeifniefekodapfcaodniphfajogob,0,0,0,0,0,0,0,0,0,1,0,0
bhdfbgcflacmmmmpgdcgdggkpfhfmkbf,0,0,0,0,0,0,0,0,0,1,0,0
bhdhcmojfidpppeghagchoommgjimbai,0,0,0,0,0,0,0,0,0,1,0,0
bhdiopmfogiheghmbkbehmiljclfjncn,0,0,0,0,0,0,0,0,0,1,0,0
bhdjjppbnlpjpeicimhemencfgjeldoa,0,0,0,0,0,0,0,0,0,1,0,0
bhdjoenakdncbihdefmdokhkmandglkj,0,0,0,0,0,0,0,0,0,1,0,0
bhdldlonfinlckniaobgoadifkdldhhf,0,0,0,0,0,0,0,0,0,1,0,0
bhdmcaoeabelekcckcmjapokiffkoiam,0,0,0,0,0,0,0,0,0,1,0,0
bhdngfbcaehcdgpohimclmbkkejhdieo,0,0,0,0,0,0,0,0,0,1,0,0
bhdnhgkhmoeacgcfkokmoidaedlblgho,0,0,0,0,0,0,0,0,0,1,0,0
bhdnlmmgiplmbcdmkkdfplenecpegfno,1,0,0,1,1,1,0,0,0,1,0,0
bhdnphlokfjjjcamgofjdbdicmgnhkmp,0,0,0,0,0,0,0,0,0,1,0,0
bhdooagicnfephjpcfbfnpehagebicfl,0,0,0,0,0,0,0,0,0,1,0,0
bheadjenigpffjihhfhbancdcolkfpeh,0,0,0,0,0,0,0,0,0,1,0,0
bhebbfhofmegjmadpckhlfejefflblbm,1,0,0,1,0,1,0,0,0,1,0,0
bheclfjobopklokbchpombdlbmidbkjp,0,0,0,0,0,0,0,0,0,1,0,0
bhedchkibbmbiomdmgiaihbmadppnnhc,0,0,0,0,0,0,0,0,0,1,0,0
bhefdajeciemoogoedbblfcjfmpikkpe,0,0,0,0,0,0,0,0,0,1,0,0
