ext,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS
ahiickjmnblnnhjcomiegpdikaboegda,2,0,0,0,0,0,0,0,0,0,0,0
afpbbdmekacgpgmnfhdfagkmlekkaklp,0,0,0,0,0,0,0,0,0,0,0,0
aohhnbhpkopmfemfonachenhjohjojnj,0,0,0,0,0,0,0,0,0,0,0,0
baeklpdelpkdmjedobkljhdbckfnffbi,0,0,0,0,0,0,0,0,0,0,0,0
bggdenimdaigbndkkjbcipcpgfcjfkcn,0,0,0,0,0,0,0,0,0,0,0,0
aolabpnafdepgahhdebhhbcbdnkojmgp,0,0,0,1,0,0,0,0,0,0,0,0
bieffgacahgffgjoehgamaomcpcelmfb,0,0,0,8,0,0,0,0,0,0,0,0
bnclepefgjnjameijfebegnjjajibjjd,0,2,0,7,0,0,0,0,0,0,0,0
bhifecnmahnembnkehmjhpogecginffa,0,0,0,12,0,0,0,0,0,0,0,0
balckfmhlgambbambmifcpgjnhkfcpgc,0,0,0,0,0,0,0,0,0,0,0,0
ahlphbdcaacfhkiajebghpngknafklbj,6,0,0,0,0,0,0,0,0,0,0,0
agnoocojkneiphkobpcfoaenhpjnmifb,0,0,0,0,0,1,0,0,0,0,0,0
bdimdjhcpdbgdnmclfgmlapnpokafhpe,0,0,0,0,0,0,0,0,0,0,0,0
beggbcbpjdjlljdppjkiibekkmebihbp,1,0,0,0,0,0,0,0,0,0,0,0
bljgfkmmnopmkcbbbbhlmnidcfdckpjb,0,0,0,0,0,0,0,0,0,0,0,0
cabcphhhdomgkaglnbcbpglbgnilmnbj,0,0,0,0,0,0,0,0,0,0,0,0
ceehmlgacfneaamnkhmbeiiaehacpeep,0,0,0,0,0,0,0,0,0,0,0,0
bfphigkhonoaimbclkgeaddkkonfcbbd,0,0,0,0,0,0,0,0,0,0,0,0
bchcolnbfnalnpijidaaddhmojdgbfjg,0,0,0,0,0,0,0,0,0,0,0,0
amhfnpimdfcdcpnchjionbddjjbmofnl,0,0,0,0,0,0,0,0,0,0,0,0
bhjhkhppcacjglakljgngpinoeljejjd,0,0,0,0,0,0,0,0,0,0,0,0
bnpfblilpanmefobpkblchgfokcgfami,0,0,0,0,0,0,0,0,0,0,0,0
aegmbmgckammjnkaapbeeehebmchllji,0,0,0,0,0,0,0,0,0,0,0,0
aghpcimopimpcnpccidfjjjmdacjoahk,0,0,0,0,0,0,0,0,0,0,0,0
aiekchlflneajdnogannnkbmlpmkceff,4,0,0,0,0,0,0,0,0,0,0,0
akjfngpbefmccpfhmcddccpbhknpmffo,0,0,0,0,0,0,0,0,0,0,0,0
aojhepgiekemmegnfdljjpejnfngndfk,0,0,0,0,0,0,0,0,0,0,0,0
bjphdgiciolfklbdpknjobaaefdgfmjd,0,0,0,0,0,0,0,0,0,0,0,0
adghpfebifehiecpkahfdkbpblchlijh,0,0,0,7,0,0,0,0,0,0,0,0
baodpdnidmedcpanneabeldenamaaeoe,0,0,0,0,0,0,0,0,0,0,0,0
bocbaocobfecmglnmeaeppambideimao,0,0,0,0,0,0,0,0,0,0,0,0
bapegenmjdffnjoccdfmcpbacdcngnkj,2,0,0,4,0,0,0,0,0,0,0,0
